Make,Model,Name,Trim,Year,finalPrice,retailPrice
Jeep,Gladiator,2024 Jeep Gladiator NIGHTHAWK 4X4,NIGHTHAWK 4X4,2024,"$45,310 ","$45,810 "
Jeep,Gladiator,2024 Jeep Gladiator SPORT S 4X4,SPORT S 4X4,2024,"$45,705 ","$46,205 "
Jeep,Gladiator,2024 Jeep Gladiator NIGHTHAWK 4X4,NIGHTHAWK 4X4,2024,"$45,905 ","$46,405 "
Jeep,Wrangler,2024 Jeep Wrangler 2-DOOR SPORT S,2-DOOR SPORT S,2024,"$45,945 ","$46,445 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR SPORT S,4-DOOR SPORT S,2024,"$49,950 ","$50,450 "
Jeep,Gladiator,2023 Jeep Gladiator SPORT S 4X4,SPORT S 4X4,2023,"$51,289 ","$60,340 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$54,750 ","$55,250 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SPORT S,4-DOOR SPORT S,2024,"$51,850 ","$55,350 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SPORT S,4-DOOR SPORT S,2024,"$51,850 ","$55,350 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SPORT S,4-DOOR SPORT S,2024,"$52,322 ","$57,345 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SPORT S,4-DOOR SPORT S,2024,"$52,322 ","$57,345 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SPORT S,4-DOOR SPORT S,2024,"$52,322 ","$57,345 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$55,345 ","$55,845 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$55,345 ","$55,845 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR RUBICON,4-DOOR RUBICON,2024,"$55,950 ","$56,450 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$56,245 ","$56,745 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$57,345 ","$57,845 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$62,505 ","$66,005 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$62,518 ","$68,125 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$62,611 ","$68,230 "
Jeep,Grand Cherokee,2019 Jeep Grand Cherokee Laredo SUV,Laredo,2019,"$25,477 ","$27,674 "
Jeep,Grand Cherokee,2019 Jeep Grand Cherokee Laredo SUV,Laredo,2019,"$26,233 ","$26,936 "
Jeep,Grand Cherokee,2020 Jeep Grand Cherokee Limited SUV,Limited,2020,"$27,333 ","$28,987 "
Jeep,Grand Cherokee,2020 Jeep Grand Cherokee Limited SUV,Limited,2020,"$28,977 ","$29,529 "
Jeep,Grand Cherokee,2020 Jeep Grand Cherokee Altitude SUV,Altitude,2020,"$30,996 ","$30,996 "
Jeep,Grand Cherokee,2020 Jeep Grand Cherokee Altitude SUV,Altitude,2020,"$34,977 ","$35,639 "
Jeep,Grand Cherokee,2021 Jeep Grand Cherokee Summit SUV,Summit,2021,"$39,919 ","$39,919 "
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee ALTITUDE X 4X4,ALTITUDE X 4X4,2024,"$42,887 ","$49,175 "
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee ALTITUDE X 4X4,ALTITUDE X 4X4,2024,"$42,887 ","$49,175 "
